,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
1120,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",MUC,11/15/2024,12/02/2024,0.0535,0.642,11.18,4.785330948121646,none,
1535,Bowlero Corp. Class A Common Stock,BOWL,11/22/2024,12/06/2024,0.055,0.22,11.5,4.782608695652174,buy,
1119,"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock",MHN,11/15/2024,12/02/2024,0.0515,0.618,10.77,4.7818012999071495,none,
1615,Agnico Eagle Mines Limited Common Stock,AEM,11/29/2024,12/16/2024,0.4,1.6,83.84,4.770992366412213,buy,
651,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,CEV,11/08/2024,11/18/2024,0.05,0.6,10.505,4.75963826749167,none,
1085,BlackRock New York Municipal Income Trust,BNY,11/15/2024,12/02/2024,0.051,0.612,10.74,4.748603351955307,none,
1651,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),AVAL,11/29/2024,12/09/2024,0.0094972,0.114,2.0,4.748600000000001,underperform,
677,Magnolia Oil & Gas Corporation Class A Common Stock,MGY,11/08/2024,12/02/2024,0.13,0.52,27.41,4.742794600510763,buy,
678,Main Street Capital Corporation Common Stock,MAIN,11/08/2024,11/15/2024,0.245,2.94,51.87,4.723346828609987,hold,
1163,BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,BTA,11/15/2024,12/02/2024,0.0495,0.594,10.61,4.66540999057493,none,
1461,"W&T Offshore, Inc. Common Stock",WTI,11/21/2024,11/29/2024,0.01,0.04,2.15,4.651162790697675,buy,
1112,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",MIY,11/15/2024,12/02/2024,0.0545,0.654,11.73,4.646206308610401,none,
534,"Greenbrier Companies, Inc. (The) Common Stock",GBX,11/06/2024,11/27/2024,0.3,1.2,64.67,4.63893613731251,hold,
1034,"U.S. Physical Therapy, Inc. Common Stock",USPH,11/15/2024,12/06/2024,0.44,1.76,95.08,4.627681952040387,buy,
1134,BlackRock Virginia Municipal Bond Trust,BHV,11/15/2024,12/02/2024,0.0515,0.618,11.13,4.627133872416891,none,
858,"Equinix, Inc. Common Stock REIT",EQIX,11/13/2024,12/11/2024,4.26,17.04,921.06,4.625105856296007,buy,
1402,AFLAC Incorporated Common Stock,AFL,11/20/2024,12/02/2024,0.5,2.0,108.27,4.618084418583172,hold,
1349,"OFS Credit Company, Inc. 5.25% Series E Term Preferred Stock Due 2026",OCCIN,11/19/2024,11/29/2024,0.109375,1.3125,23.6899,4.616946462416473,none,
1108,BlackRock Investment Quality Municipal Trust Inc. (The),BKN,11/15/2024,12/02/2024,0.057,0.684,12.35,4.615384615384616,none,
919,"Source Capital, Inc. Common Stock",SOR,11/14/2024,11/29/2024,0.2083,2.4996,45.17,4.611467788355103,none,
1102,"Blackrock MuniYield Quality Fund, Inc. Common Stock",MQY,11/15/2024,12/02/2024,0.058,0.696,12.62,4.595879556259905,none,
357,"Thor Industries, Inc. Common Stock",THO,11/01/2024,11/15/2024,0.5,2.0,108.85,4.593477262287552,hold,
1121,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",MUJ,11/15/2024,12/02/2024,0.054,0.648,11.76,4.591836734693878,none,
289,Realty Income Corporation Common Stock,O,11/01/2024,11/15/2024,0.2635,3.162,57.51,4.581811858807164,buy,
747,"Weis Markets, Inc. Common Stock",WMK,11/12/2024,11/26/2024,0.34,1.36,74.55,4.560697518443997,none,
1395,"Kelly Services, Inc. Class B Common Stock",KELYB,11/20/2024,12/04/2024,0.075,0.3,16.48,4.550970873786408,none,
1394,"Kelly Services, Inc. Class A Common Stock",KELYA,11/20/2024,12/04/2024,0.075,0.3,16.52,4.539951573849879,buy,
804,Genie Energy Ltd. Class B Common Stock Stock,GNE,11/12/2024,11/20/2024,0.075,0.3,16.52,4.539951573849879,hold,
1086,Invesco Bond Fund Common Stock,VBF,11/15/2024,11/29/2024,0.074,0.888,16.3,4.5398773006134965,none,
1091,Nuveen Multi-Market Income Fund (MA),JMM,11/15/2024,12/02/2024,0.0275,0.33,6.07,4.5304777594728165,none,
63,Burford Capital Limited Ordinary Shares,BUR,11/01/2024,12/05/2024,0.0625,0.125,13.82,4.522431259044862,buy,
722,"Heartland Financial USA, Inc. Common Stock",HTLF,11/12/2024,11/26/2024,0.3,1.2,66.4,4.518072289156626,buy,
917,Olin Corporation Common Stock,OLN,11/14/2024,12/13/2024,0.2,0.8,44.29,4.515692029803567,hold,
1605,"DuPont de Nemours, Inc. Common Stock",DD,11/29/2024,12/16/2024,0.38,1.52,84.17,4.514672686230249,buy,
1068,North European Oil Royality Trust Common Stock,NRT,11/15/2024,11/27/2024,0.02,0.08,4.44,4.504504504504504,none,
1425,"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EVM,11/21/2024,11/29/2024,0.0417,0.5004,9.32,4.4742489270386265,none,
1309,"L3Harris Technologies, Inc. Common Stock",LHX,11/18/2024,12/06/2024,1.16,4.64,260.6,4.451266308518802,buy,
1117,"Blackrock MuniAssets Fund, Inc Common Stock",MUA,11/15/2024,12/02/2024,0.0555,0.666,12.47,4.450681635926223,none,
226,"Lamb Weston Holdings, Inc. Common Stock ",LW,11/01/2024,11/29/2024,0.36,1.44,81.2,4.433497536945812,buy,
1587,"MGE Energy, Inc",MGEE,11/29/2024,12/15/2024,0.45,1.8,101.52,4.432624113475177,underperform,
1184,Matador Resources Company Common Stock,MTDR,11/15/2024,12/06/2024,0.25,1.0,56.58,4.418522446094026,buy,
1310,Pan American Silver Corp. Common Stock,PAAS,11/18/2024,11/29/2024,0.1,0.4,22.64,4.41696113074205,buy,
1089,Invesco Municipal Income Opportunities Trust Common Stock,OIA,11/15/2024,11/29/2024,0.0291,0.3492,6.59,4.415781487101669,none,
1143,"BlackRock Municipal Income Fund, Inc. Common Stock",MUI,11/15/2024,12/02/2024,0.055,0.66,12.52,4.39297124600639,none,
1065,Gorman-Rupp Company (The) Common Stock,GRC,11/15/2024,12/10/2024,0.185,0.74,42.16,4.3880455407969645,strong_buy,
931,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,11/14/2024,11/21/2024,0.11,1.32,25.07,4.387714399680894,none,
906,SBA Communications Corporation Class A Common Stock,SBAC,11/14/2024,12/12/2024,0.98,3.92,223.92,4.376563058235084,buy,
825,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA,11/12/2024,11/29/2024,0.104167,1.25,23.81,4.374926501469971,none,
1578,eBay Inc. Common Stock,EBAY,11/29/2024,12/13/2024,0.27,1.08,61.89,4.362578768783325,hold,
775,Pimco Municipal Income Fund II Common Shares of Beneficial Interest,PML,11/12/2024,12/02/2024,0.0395,0.474,9.09,4.3454345434543455,none,
1424,"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",ENX,11/21/2024,11/29/2024,0.0417,0.5004,9.64,4.325726141078838,none,
1209,"Origin Bancorp, Inc. Common Stock",OBK,11/15/2024,11/29/2024,0.15,0.6,34.72,4.320276497695852,buy,
493,"Constellation Brands, Inc. Common Stock",STZ,11/05/2024,11/21/2024,1.01,4.04,234.38,4.3092414028500725,buy,
1563,Algoma Steel Group Inc. Common Shares,ASTL,11/27/2024,12/27/2024,0.05,0.2,11.61,4.306632213608958,buy,
237,"NRG Energy, Inc. Common Stock",NRG,11/01/2024,11/15/2024,0.4075,1.63,96.14,4.238610359891824,buy,
1287,Gen Digital Inc. Common Stock,GEN,11/18/2024,12/11/2024,0.125,0.5,29.53,4.232983406705046,buy,
1158,Western Alliance Bancorporation Common Stock (DE),WAL,11/15/2024,11/29/2024,0.38,1.52,89.87,4.2283298097251585,buy,
687,Oil-Dri Corporation Of America Common Stock,ODC,11/08/2024,11/22/2024,0.31,1.24,73.35,4.226312201772325,none,
1476,Western Asset Investment Grade Opportunity Trust Inc. Common Stock,IGI,11/21/2024,12/02/2024,0.071,0.852,16.82,4.2211652794292505,hold,
1468,TE Connectivity plc Ordinary Shares,TEL,11/21/2024,1/01/0001,0.65,2.6,155.06,4.191925706178253,buy,
770,PIMCO Municipal Income Fund Common Stock,PMF,11/12/2024,12/02/2024,0.042,0.504,10.02,4.1916167664670665,none,
1487,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,ETX,11/21/2024,11/29/2024,0.0782,0.9384,18.67,4.188537761114087,none,
1387,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,LANDM,11/20/2024,11/29/2024,0.104167,1.250004,24.9191,4.180207150338496,none,
1428,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",GIL,11/21/2024,12/16/2024,0.205,0.82,49.27,4.160746904810229,buy,
757,MFS High Income Municipal Trust Common Stock,CXE,11/12/2024,11/29/2024,0.016,0.192,3.85,4.1558441558441555,none,
769,PIMCO New York Municipal Income Fund Common Stock,PNF,11/12/2024,12/02/2024,0.0335,0.402,8.0801,4.145988292224106,none,
1058,Emerson Electric Company Common Stock,EMR,11/15/2024,12/10/2024,0.5275,2.11,127.26,4.145057362879145,buy,
1162,"Blackrock Enhanced Government Fund, Inc. Common Stock",EGF,11/15/2024,11/29/2024,0.041,0.492,9.92,4.133064516129032,none,
1227,"Pioneer Municipal High Income Opportunities Fund, Inc. Common Stock",MIO,11/15/2024,11/29/2024,0.05,0.6,12.1,4.132231404958678,none,
778,PIMCO Municipal Income Fund III Common Shares of Beneficial Interest,PMX,11/12/2024,12/02/2024,0.033,0.396,8.0,4.125,none,
1054,Oshkosh Corporation (Holding Company)Common Stock,OSK,11/15/2024,11/29/2024,0.46,1.84,111.63,4.120756069157037,buy,
779,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,PZC,11/12/2024,12/02/2024,0.0295,0.354,7.18,4.108635097493036,none,
1263,INSCORP Inc,IBTN,11/15/2024,12/06/2024,0.1,0.4,24.36,4.105090311986864,none,
1628,Kronos Worldwide Inc Common Stock,KRO,11/29/2024,12/12/2024,0.05,0.2,12.18,4.105090311986864,hold,
1683,Blue Owl Capital Corporation III Common Stock,OBDE,11/29/2024,12/13/2024,0.06,1.4,14.63,4.1011619958988375,strong_buy,
696,"Richardson Electronics, Ltd. Common Stock",RELL,11/08/2024,11/27/2024,0.06,0.24,14.65,4.09556313993174,none,
780,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,PYN,11/12/2024,12/02/2024,0.0248,0.2976,6.08,4.078947368421053,none,
877,"Hercules Capital, Inc. Common Stock",HTGC,11/13/2024,11/20/2024,0.08,1.6,19.67,4.067107269954245,buy,
1434,Western Asset Investment Grade Income Fund Inc.,PAI,11/21/2024,12/02/2024,0.0515,0.618,12.71,4.051927616050354,hold,
752,MFS Municipal Income Trust Common Stock,CMU,11/12/2024,11/29/2024,0.0145,0.174,3.5884,4.040798127299075,none,
903,"Magyar Bancorp, Inc. Common Stock",MGYR,11/14/2024,11/27/2024,0.05,0.2,12.45,4.016064257028113,none,
662,First Bank Common Stock,FRBA,11/08/2024,11/22/2024,0.06,0.24,15.0,4.0,buy,
1467,Discover Financial Services Common Stock,DFS,11/21/2024,12/05/2024,0.7,2.8,175.15,3.9965743648301455,hold,
763,"Reinsurance Group of America, Incorporated Common Stock",RGA,11/12/2024,11/26/2024,0.89,3.56,224.06,3.9721503168794072,buy,
514,Las Vegas Sands Corp. Common Stock,LVS,11/05/2024,11/13/2024,0.2,0.8,50.38,3.969829297340214,buy,
776,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest,PNI,11/12/2024,12/02/2024,0.0295,0.354,7.45,3.959731543624161,none,
1076,"Nuveen Municipal Income Fund, Inc. Common Stock",NMI,11/15/2024,12/02/2024,0.038,0.456,9.67,3.9296794208893484,none,
478,Synchrony Financial Common Stock,SYF,11/04/2024,11/15/2024,0.25,1.0,63.79,3.9191095783038095,buy,
1218,Otis Worldwide Corporation Common Stock ,OTIS,11/15/2024,12/06/2024,0.39,1.56,100.03,3.8988303508947317,hold,
1475,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,EOT,11/21/2024,11/29/2024,0.0683,0.8196,17.62,3.87627695800227,none,
1280,Morris St Bancshares Inc,MBLU,11/15/2024,12/15/2024,0.092,0.368,23.75,3.873684210526316,none,
750,MFS Municipal Income Trust Common Stock,MFM,11/12/2024,11/29/2024,0.0215,0.258,5.57,3.859964093357271,none,
1059,Marathon Oil Corporation Common Stock,MRO,11/15/2024,12/10/2024,0.11,0.44,28.5,3.8596491228070176,buy,
999,Park-Ohio Holdings Corp. Common Stock,PKOH,11/15/2024,11/29/2024,0.125,0.5,32.475,3.8491147036181674,hold,
533,EQT Corporation Common Stock,EQT,11/06/2024,12/02/2024,0.1575,0.63,41.22,3.8209606986899565,buy,
1009,"Selective Insurance Group, Inc. Common Stock",SIGI,11/15/2024,12/02/2024,0.38,1.4,99.88,3.8045654785742893,buy,
1511,Putnam Managed Municipal Income Trust Common Stock,PMM,11/22/2024,12/02/2024,0.0238,0.2856,6.28,3.789808917197452,none,
1144,"Pioneer Municipal High Income Advantage Fund, Inc.",MAV,11/15/2024,11/29/2024,0.0325,0.39,8.63,3.765932792584009,none,
966,Eastern Company (The) Common Stock,EML,11/15/2024,12/13/2024,0.11,0.44,29.31,3.7529853292391677,none,
939,Amerant Bancorp Inc. Class A Common Stock,AMTB,11/14/2024,11/29/2024,0.09,0.36,24.0,3.75,buy,
1566,"T-Mobile US, Inc. Common Stock",TMUS,11/27/2024,12/12/2024,0.88,2.6,235.31,3.739747567039225,buy,
1347,Cognizant Technology Solutions Corporation Class A Common Stock,CTSH,11/19/2024,11/27/2024,0.3,1.2,80.31,3.7355248412401942,hold,
1235,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,BMN,11/15/2024,12/02/2024,0.09375,1.125,25.115,3.732828986661358,none,
1079,"Pioneer Municipal High Income Fund, Inc.",MHI,11/15/2024,11/29/2024,0.035,0.42,9.43,3.711558854718982,none,
1331,"A10 Networks, Inc. Common Stock",ATEN,11/18/2024,12/02/2024,0.06,0.24,16.2,3.7037037037037037,buy,
768,PIMCO California Municipal Income Fund Common Stock,PCQ,11/12/2024,12/02/2024,0.036,0.432,9.83,3.6622583926754833,hold,
883,Sensata Technologies Holding plc Ordinary Shares,ST,11/13/2024,11/27/2024,0.12,0.48,33.09,3.6264732547597456,hold,
1589,"Monarch Casino & Resort, Inc. Common Stock",MCRI,11/29/2024,12/15/2024,0.3,1.2,82.84,3.6214389183969096,hold,
1390,Gladstone Land Corporation Common Stock,LAND,11/20/2024,11/29/2024,0.0467,0.5604,12.91,3.617350890782339,buy,
732,"Sound Financial Bancorp, Inc. Common Stock",SFBC,11/12/2024,11/26/2024,0.19,0.76,52.53,3.6169807728916807,none,
1485,NYLI MacKay DefinedTerm Muni Opportunities Fund Common Shares,MMD,11/21/2024,11/29/2024,0.06,0.72,16.66,3.601440576230492,none,
774,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,PCK,11/12/2024,12/02/2024,0.0215,0.258,5.97,3.6013400335008376,none,
1378,Columbia Sportswear Company Common Stock,COLM,11/20/2024,12/04/2024,0.3,1.2,83.45,3.59496704613541,hold,
680,Masco Corporation Common Stock,MAS,11/08/2024,11/25/2024,0.29,1.16,80.95,3.5824583075972822,buy,
636,"Bread Financial Holdings, Inc. Common Stock",BFH,11/08/2024,12/13/2024,0.21,0.84,59.07,3.5551041137633317,hold,
1084,Nuveen Select Tax Free Income Portfolio Common Stock,NXP,11/15/2024,12/02/2024,0.052,0.624,14.68,3.542234332425068,hold,
1519,Assured Guaranty Ltd. Common Stock,AGO,11/22/2024,12/06/2024,0.31,1.24,87.53,3.5416428653033245,buy,
425,"Capital Bancorp, Inc. Common Stock",CBNK,11/04/2024,11/20/2024,0.1,0.4,28.28,3.536067892503536,buy,
1010,"Southern Missouri Bancorp, Inc. Common Stock",SMBC,11/15/2024,11/29/2024,0.23,0.92,65.14,3.5308566165182684,buy,
1082,Nuveen New York Municipal Value Fund Common Stock,NNY,11/15/2024,12/02/2024,0.0295,0.354,8.39,3.516090584028605,strong_buy,
613,Wintrust Financial Corporation Common Stock,WTFC,11/07/2024,11/22/2024,0.45,1.8,128.6,3.4992223950233283,buy,
1101,Nuveen New York Select Tax-Free Income Portfolio Common Stock,NXN,11/15/2024,12/02/2024,0.042,0.504,12.01,3.4970857618651126,none,
975,"FirstCash Holdings, Inc. Common Stock",FCFS,11/15/2024,11/27/2024,0.38,1.52,109.08,3.4836817015034836,buy,
551,AllianceBernstein National Municipal Income Fund Inc,AFB,11/07/2024,11/22/2024,0.03961,0.4753,11.41,3.471516213847502,none,
1538,Security National Corp.,SNLC,11/22/2024,12/13/2024,0.5,2.0,144.5,3.4602076124567476,none,
1073,"Nuveen Municipal Value Fund, Inc. Common Stock",NUV,11/15/2024,12/02/2024,0.031,0.372,8.96,3.4598214285714284,hold,
849,"Astec Industries, Inc. Common Stock",ASTE,11/13/2024,11/27/2024,0.13,0.52,37.82,3.437334743521946,buy,
1514,"Reliance, Inc. Common Stock",RS,11/22/2024,12/06/2024,1.1,4.4,320.62,3.430852722849479,hold,
1013,"The Shyft Group, Inc. Common Stock",SHYF,11/15/2024,12/16/2024,0.05,0.2,14.6,3.4246575342465753,buy,
1616,Blue Owl Capital Corporation Common Stock,OBDC,11/29/2024,12/13/2024,0.05,1.48,14.78,3.3829499323410017,buy,
640,Charles Schwab Corporation (The) Common Stock,SCHW,11/08/2024,11/22/2024,0.25,1.0,73.9,3.3829499323410013,buy,
1170,"HCI Group, Inc. Common Stock",HCI,11/15/2024,12/20/2024,0.4,1.6,118.7,3.369839932603201,buy,
485,Amalgamated Financial Corp. Common Stock (DE),AMAL,11/05/2024,11/21/2024,0.12,0.48,35.68,3.3632286995515694,buy,
1513,Putnam Municipal Opportunities Trust Common Stock,PMO,11/22/2024,12/02/2024,0.035,0.42,10.46,3.346080305927342,none,
721,FTAI Infrastructure Inc. Common Stock ,FIP,11/12/2024,11/19/2024,0.03,0.12,9.0,3.3333333333333335,strong_buy,
1577,CSX Corporation Common Stock,CSX,11/29/2024,12/13/2024,0.12,0.48,36.0,3.3333333333333335,buy,
1100,Nuveen California Select Tax-Free Income Portfolio Common Stock,NXC,11/15/2024,12/02/2024,0.0455,0.546,13.7199,3.3163507022645935,none,
1171,Nuveen AMT-Free Municipal Value Fund,NUW,11/15/2024,12/02/2024,0.0465,0.558,14.06,3.3072546230440967,none,
1634,"Stag Industrial, Inc. Common Stock",STAG,11/29/2024,12/16/2024,0.123333,1.48,37.38,3.299438202247191,hold,
746,"Rollins, Inc. Common Stock",ROL,11/12/2024,12/10/2024,0.165,0.66,50.18,3.288162614587485,buy,
1277,Pioneer Bankcorp Inc,PBKC,11/15/2024,12/02/2024,0.15,1.4,45.75,3.278688524590164,none,
695,"Ranger Energy Services, Inc. Class A Common Stock",RNGR,11/08/2024,11/22/2024,0.05,0.2,15.26,3.2765399737876804,buy,
1057,"Maximus, Inc. Common Stock",MMS,11/15/2024,11/30/2024,0.3,1.2,91.56,3.27653997378768,buy,
1625,Tennant Company Common Stock,TNC,11/29/2024,12/16/2024,0.295,1.18,90.53,3.2585883132663205,strong_buy,
900,"HomeTrust Bancshares, Inc. Common Stock",HTBI,11/14/2024,11/27/2024,0.12,0.44,36.84,3.2573289902280127,buy,
758,MFS Investment Grade Municipal Trust Common Stock,CXH,11/12/2024,11/29/2024,0.0265,0.318,8.142,3.25472856791943,none,
1583,"Golub Capital BDC, Inc. Common Stock",GBDC,11/29/2024,12/13/2024,0.05,1.56,15.38,3.250975292587776,buy,
1561,"Yum China Holdings, Inc. Common Stock",YUMC,11/26/2024,12/17/2024,0.16,0.64,49.31,3.2447779355100383,buy,
1676,Triple Flag Precious Metals Corp. Common Shares,TFPM,11/29/2024,12/16/2024,0.055,0.22,16.97,3.241013553329405,buy,
1087,Nuveen California Municipal Value Fund,NCA,11/15/2024,12/02/2024,0.029,0.348,8.95,3.240223463687151,none,
924,Capital One Financial Corporation Common Stock,COF,11/14/2024,11/22/2024,0.6,2.4,185.21,3.239565898169645,buy,
729,"Rush Enterprises, Inc. Class B",RUSHB,11/12/2024,12/12/2024,0.18,0.72,55.8,3.2258064516129035,none,
862,Pool Corporation Common Stock,POOL,11/13/2024,11/27/2024,1.2,4.8,372.58,3.220784797895754,buy,
1295,"Twin Disc, Incorporated Common Stock",TWIN,11/18/2024,12/02/2024,0.04,0.16,12.45,3.21285140562249,hold,
1426,Thomson Reuters Corp Common Shares,TRI,11/21/2024,12/10/2024,0.54,2.16,168.23,3.209891220353088,hold,
655,"Emerald Holding, Inc. Common Stock",EEX,11/08/2024,11/21/2024,0.015,0.06,4.68,3.2051282051282053,buy,
1546,Marcus Corporation (The) Common Stock,MCS,11/25/2024,12/16/2024,0.07,0.28,21.85,3.203661327231121,buy,
1548,Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),NVGS,11/25/2024,12/17/2024,0.05,0.2,15.61,3.2030749519538757,strong_buy,
1684,"Cboe Global Markets, Inc. Common Stock",CBOE,11/29/2024,12/13/2024,0.63,2.52,196.86,3.2002438281011885,hold,
888,"Concentra Group Holdings Parent, Inc. Common Stock",CON,11/13/2024,11/22/2024,0.0625,0.0625,19.63,3.1839021905247074,buy,
873,Select Medical Holdings Corporation Common Stock,SEM,11/13/2024,11/26/2024,0.125,0.5,39.27,3.1830914183855357,buy,
922,"TJX Companies, Inc. (The) Common Stock",TJX,11/14/2024,12/05/2024,0.375,1.5,117.83,3.1825511329882032,buy,
1593,"Power Integrations, Inc. Common Stock",POWI,11/29/2024,12/31/2024,0.21,0.8,66.31,3.1669431458301913,buy,
1172,AGCO Corporation Common Stock,AGCO,11/15/2024,12/16/2024,0.29,1.16,91.86,3.1569780100152407,buy,
1568,"RB Global, Inc. Common Stock",RBA,11/27/2024,12/18/2024,0.29,1.16,91.86,3.1569780100152407,buy,
898,"Heidrick & Struggles International, Inc. Common Stock",HSII,11/14/2024,11/21/2024,0.15,0.6,47.53,3.1559015358720806,buy,
1542,CDW Corporation Common Stock,CDW,11/25/2024,12/10/2024,0.625,2.48,199.87,3.127032571171261,buy,
1272,Pershing Square Holdings Ltd,PSHZF,11/15/2024,12/13/2024,0.1456,0.5824,46.78,3.1124412141941,none,
706,Terex Corporation Common Stock,TEX,11/08/2024,12/19/2024,0.17,0.68,55.73,3.050421675937556,hold,
496,FB Financial Corporation Common Stock,FBK,11/05/2024,11/19/2024,0.17,0.68,55.77,3.0482338174645864,buy,
921,KB Home Common Stock,KBH,11/14/2024,11/27/2024,0.25,1.0,82.2,3.0413625304136254,hold,
714,"U.S. Global Investors, Inc. Class A Common Stock",GROW,11/08/2024,11/25/2024,0.0075,0.09,2.47,3.0364372469635623,none,
1526,"Fortune Brands Innovations, Inc. Common Stock",FBIN,11/22/2024,12/11/2024,0.24,0.96,79.05,3.0360531309297913,hold,
1480,"Primerica, Inc. Common Stock",PRI,11/21/2024,12/12/2024,0.9,3.6,297.73,3.022873072918416,hold,
1104,Nuveen Select Maturities Municipal Fund Common Stock,NIM,11/15/2024,12/02/2024,0.0275,0.33,9.12,3.015350877192983,none,
1078,"BNY Mellon Strategic Municipals, Inc. Common Stock",LEO,11/15/2024,12/02/2024,0.019,0.228,6.33,3.0015797788309637,none,
837,National Cap Bancorp Inc,NACB,11/12/2024,11/26/2024,0.66,2.64,220.0,3.0,none,
1672,"P10, Inc. Class A Common Stock",PX,11/29/2024,12/20/2024,0.035,0.14,11.68,2.9965753424657535,buy,
1559,Labcorp Holdings Inc. Common Stock,LH,11/26/2024,12/13/2024,0.72,2.88,242.39,2.970419571764512,buy,
1017,"Wynn Resorts, Limited Common stock",WYNN,11/15/2024,11/27/2024,0.25,1.0,84.3,2.965599051008304,buy,
1077,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",DSM,11/15/2024,12/02/2024,0.018,0.216,6.1,2.9508196721311477,none,
1071,MSA Safety Incorporated Common Stock,MSA,11/15/2024,12/10/2024,0.51,2.04,173.56,2.938465084120765,buy,
688,"Oppenheimer Holdings, Inc. Class A Common Stock (DE)",OPY,11/08/2024,11/22/2024,0.18,0.72,61.67,2.9187611480460514,none,
490,"Byline Bancorp, Inc. Common Stock",BY,11/05/2024,11/19/2024,0.09,0.36,30.87,2.9154518950437316,buy,
1572,"Century Communities, Inc. Common Stock",CCS,11/27/2024,12/11/2024,0.26,1.04,90.32,2.8786536758193093,hold,
1567,Kinross Gold Corporation Common Stock,KGC,11/27/2024,12/12/2024,0.03,0.12,10.47,2.8653295128939824,buy,
1095,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF,11/15/2024,11/29/2024,0.0325,0.39,11.36,2.8609154929577465,none,
730,"Rush Enterprises, Inc. Common Stock Cl A",RUSHA,11/12/2024,12/12/2024,0.18,0.72,62.95,2.859412231930103,strong_buy,
546,Weatherford International plc Ordinary Shares,WFRD,11/06/2024,12/05/2024,0.25,1.0,87.49,2.8574694250771517,buy,
483,Whitestone REIT Common Shares,WSR,11/04/2024,11/14/2024,0.04125,0.495,14.44,2.8566481994459836,buy,
426,"Carriage Services, Inc. Common Stock",CSV,11/04/2024,12/02/2024,0.1125,0.45,39.39,2.856054836252856,strong_buy,
1336,"Apollo Global Management, Inc. (New) Common Stock",APO,11/18/2024,11/29/2024,0.4625,1.85,162.0,2.8549382716049383,buy,
1330,"PennyMac Financial Services, Inc. Common Stock",PFSI,11/18/2024,11/27/2024,0.3,1.2,105.27,2.8498147620404675,buy,
1064,Lindsay Corporation Common Stock,LNN,11/15/2024,11/29/2024,0.36,1.44,126.37,2.8487773996992956,buy,
1603,"Crane NXT, Co. Common Stock",CXT,11/29/2024,12/11/2024,0.16,0.64,56.68,2.8228652081863093,buy,
1633,Hubbell Inc Common Stock,HUBB,11/29/2024,12/16/2024,1.32,5.28,467.93,2.820934755198427,buy,
1410,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",DMB,11/20/2024,12/02/2024,0.03,0.36,10.79,2.7803521779425395,none,
1179,Booz Allen Hamilton Holding Corporation Common Stock,BAH,11/15/2024,12/04/2024,0.51,2.04,183.5,2.779291553133515,buy,
548,"WisdomTree, Inc. Common Stock",WT,11/06/2024,11/20/2024,0.03,0.12,10.81,2.7752081406105455,buy,
1294,Tiptree Inc. Common Stock,TIPT,11/18/2024,11/25/2024,0.06,0.24,21.97,2.730996813837051,none,
1396,"MarketAxess Holdings, Inc. Common Stock",MKTX,11/20/2024,12/04/2024,0.74,2.96,274.68,2.694043978447648,hold,
1168,MSCI Inc. Common Stock,MSCI,11/15/2024,11/29/2024,1.6,6.4,594.0,2.6936026936026938,buy,
418,"Ameriprise Financial, Inc. Common Stock",AMP,11/04/2024,11/15/2024,1.48,5.92,551.99,2.681207992898422,buy,
720,WSFS Financial Corporation Common Stock,WSFS,11/08/2024,11/22/2024,0.15,0.6,55.96,2.68048606147248,buy,
876,"Sturm, Ruger & Company, Inc. Common Stock",RGR,11/13/2024,11/27/2024,0.11,0.44,41.06,2.679006332196785,buy,
978,"Greene County Bancorp, Inc. Common Stock",GCBC,11/15/2024,11/29/2024,0.09,0.36,33.6,2.6785714285714284,none,
915,"Crown Holdings, Inc.",CCK,11/14/2024,11/27/2024,0.25,1.0,93.4,2.6766595289079227,buy,
1052,"Church & Dwight Company, Inc. Common Stock",CHD,11/15/2024,12/02/2024,0.28375,1.135,106.45,2.665570690465007,hold,
581,St. Joe Company (The) Common Stock,JOE,11/07/2024,12/06/2024,0.14,0.56,52.68,2.6575550493545936,none,
