,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
523,Shenandoah Telecommunications Co Common Stock,SHEN,11/05/2024,12/02/2024,0.1,0.1
524,SiriusXM Holdings Inc. Common Stock,SIRI,11/05/2024,11/21/2024,0.27,1.08
525,"Suburban Propane Partners, L.P. Common Stock",SPH,11/05/2024,11/12/2024,0.325,1.3
526,"Tectonic Financial, Inc. 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock",TECTP,11/05/2024,11/15/2024,0.3092146,1.236858
527,TriMas Corporation Common Stock,TRS,11/05/2024,11/12/2024,0.04,0.16
528,"Warrior Met Coal, Inc. Common Stock",HCC,11/05/2024,11/12/2024,0.08,0.32
529,"Archrock, Inc. Common Stock",AROC,11/06/2024,11/13/2024,0.175,0.7
530,BNY Mellon High Yield Strategies Fund Common Stock,DHF,11/06/2024,11/21/2024,0.0175,0.21
531,"Brown & Brown, Inc. Common Stock",BRO,11/06/2024,11/13/2024,0.15,0.6
532,"Colony Bankcorp, Inc. Common Stock",CBAN,11/06/2024,11/20/2024,0.1125,0.45
533,EQT Corporation Common Stock,EQT,11/06/2024,12/02/2024,0.1575,0.63
534,"Greenbrier Companies, Inc. (The) Common Stock",GBX,11/06/2024,11/27/2024,0.3,1.2
535,"Hanover Bancorp, Inc. Common Stock",HNVR,11/06/2024,11/13/2024,0.1,0.4
536,Heritage Financial Corporation Common Stock,HFWA,11/06/2024,11/20/2024,0.23,0.92
537,Kearny Financial Corp Common Stock,KRNY,11/06/2024,11/20/2024,0.11,0.44
538,"NextEra Energy Partners, LP Common Units representing limited partner interests",NEP,11/06/2024,11/14/2024,0.9175,3.67
539,"Northfield Bancorp, Inc. Common Stock (Delaware)",NFBK,11/06/2024,11/20/2024,0.13,0.52
540,Putnam ESG Ultra Short ETF,PULT,11/06/2024,11/08/2024,0.2152,2.7562
541,Roundhill S&P 500 Target 20 Managed Distribution ETF,XPAY,11/06/2024,11/07/2024,0.972333,11.668
542,Southern Copper Corporation Common Stock,SCCO,11/06/2024,11/21/2024,0.7,2.8
543,TappAlpha SPY Growth & Daily Income ETF,TSPY,11/06/2024,11/07/2024,0.2765522,3.318626
544,Univest Financial Corporation Common Stock,UVSP,11/06/2024,11/20/2024,0.21,0.84
545,VSE Corporation Common Stock,VSEC,11/06/2024,11/20/2024,0.1,0.4
546,Weatherford International plc Ordinary Shares,WFRD,11/06/2024,12/05/2024,0.25,1.0
547,West Bancorporation Common Stock,WTBA,11/06/2024,11/20/2024,0.25,1.0
548,"WisdomTree, Inc. Common Stock",WT,11/06/2024,11/20/2024,0.03,0.12
549,"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",ARLP,11/07/2024,11/14/2024,0.7,2.8
550,Alliancebernstein Global High Income Fund,AWF,11/07/2024,11/22/2024,0.0655,0.786
551,AllianceBernstein National Municipal Income Fund Inc,AFB,11/07/2024,11/22/2024,0.03961,0.4753
552,Armstrong World Industries Inc Common Stock,AWI,11/07/2024,11/21/2024,0.308,1.232
553,Atlas Energy Solutions Inc. Common Stock,AESI,11/07/2024,11/14/2024,0.24,0.96
554,Bank of Marin Bancorp Common Stock,BMRC,11/07/2024,11/14/2024,0.25,1.0
555,Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF,QQQY,11/07/2024,11/08/2024,0.2661,0.0
556,Defiance R2000 Enhanced Options & 0DTE Income ETF,IWMY,11/07/2024,11/08/2024,0.3292,16.9303
557,Defiance S&P 500 Enhanced Options & 0DTE Income ETF,WDTE,11/07/2024,11/08/2024,0.2874,10.69
558,Ferrovial SE Ordinary Shares,FER,11/07/2024,12/13/2024,0.49133,0.659763
559,"First Business Financial Services, Inc. Common Stock",FBIZ,11/07/2024,11/20/2024,0.25,1.0
560,FirstEnergy Corp. Common Stock,FE,11/07/2024,12/01/2024,0.425,1.7
561,FlexShares Core Select Bond Fund,BNDC,11/07/2024,11/14/2024,0.0733,0.8045
562,Ford Motor Company Common Stock,F,11/07/2024,12/02/2024,0.15,0.6
563,"Franklin Electric Co., Inc. Common Stock",FELE,11/07/2024,11/21/2024,0.25,1.0
564,Franklin U.S. Low Volatility High Dividend Index ETF,LVHD,11/07/2024,11/12/2024,0.370107,1.480428
565,"FS Bancorp, Inc. Common Stock",FSBW,11/07/2024,11/21/2024,0.27,1.08
566,Global X Adaptive U.S. Factor ETF,AUSF,11/07/2024,11/15/2024,0.285,0.86
567,Global X MLP & Energy Infrastructure ETF,MLPX,11/07/2024,11/15/2024,0.652,2.5
568,Global X MLP ETF,MLPA,11/07/2024,11/15/2024,0.91,3.54
569,Heritage Commerce Corp Common Stock,HTBK,11/07/2024,11/21/2024,0.13,0.52
570,Hess Midstream LP Class A Share,HESM,11/07/2024,11/14/2024,0.6846,2.7384
571,"Hope Bancorp, Inc. Common Stock",HOPE,11/07/2024,11/21/2024,0.14,0.56
572,JBG SMITH Properties Common Shares ,JBGS,11/07/2024,11/22/2024,0.175,0.7
573,Martin Midstream Partners L.P. Limited Partnership,MMLP,11/07/2024,11/14/2024,0.005,0.02
574,"Matson, Inc. Common Stock",MATX,11/07/2024,12/05/2024,0.34,1.36
575,MGIC Investment Corporation Common Stock,MTG,11/07/2024,11/21/2024,0.13,0.52
576,OP Bancorp Common Stock,OPBK,11/07/2024,11/21/2024,0.12,0.48
577,"Paychex, Inc. Common Stock",PAYX,11/07/2024,11/27/2024,0.98,3.92
578,Peapack-Gladstone Financial Corporation Common Stock,PGC,11/07/2024,11/22/2024,0.05,0.2
579,ResMed Inc. Common Stock,RMD,11/07/2024,12/12/2024,0.53,2.12
580,"S&T Bancorp, Inc. Common Stock",STBA,11/07/2024,11/21/2024,0.34,1.36
581,St. Joe Company (The) Common Stock,JOE,11/07/2024,12/06/2024,0.14,0.56
582,The Timothy Plan Timothy Plan Market Neutral ETF,TPMN,11/07/2024,11/08/2024,0.0332,1.8148
583,Timothy Plan High Dividend Stock Enhanced ETF,TPHE,11/07/2024,11/08/2024,0.0224,0.536
584,Timothy Plan High Dividend Stock ETF,TPHD,11/07/2024,11/08/2024,0.0327,0.7707
585,Timothy Plan US Large/Mid Cap Core Enhanced ETF,TPLE,11/07/2024,11/08/2024,0.0053,0.2589
586,Timothy Plan US Large/Mid Cap Core ETF,TPLC,11/07/2024,11/08/2024,0.0084,0.3788
587,Timothy Plan US Small Cap Core ETF,TPSC,11/07/2024,11/08/2024,0.0063,0.4405
588,VictoryShares Core Intermediate Bond ETF,UITB,11/07/2024,11/08/2024,0.159412,1.912944
589,VictoryShares Core Plus Intermediate Bond ETF,UBND,11/07/2024,11/08/2024,0.080849,0.970188
590,VictoryShares Corporate Bond ETF,UCRD,11/07/2024,11/08/2024,0.071801,0.861612
591,VictoryShares Dividend Accelerator ETF,VSDA,11/07/2024,11/08/2024,0.03068,0.36816
592,VictoryShares Emerging Markets Value Momentum ETF,UEVM,11/07/2024,11/08/2024,0.058338,0.700056
593,VictoryShares Free Cash Flow ETF,VFLO,11/07/2024,11/08/2024,0.005261,0.063132
594,VictoryShares Hedged Equity Income ETF,HEJD,11/07/2024,11/08/2024,0.042342,0.508104
595,VictoryShares International Value Momentum ETF,UIVM,11/07/2024,11/08/2024,0.053664,0.643968
596,VictoryShares International Volatility Wtd ETF,CIL,11/07/2024,11/08/2024,0.015415,0.18498
597,VictoryShares Short-Term Bond ETF,USTB,11/07/2024,11/08/2024,0.210324,2.523888
598,VictoryShares Small Cap Free Cash Flow ETF,SFLO,11/07/2024,11/08/2024,0.011987,0.143844
599,VictoryShares US 500 Enhanced Volatility Wtd ETF,CFO,11/07/2024,11/08/2024,0.040606,0.487272
600,VictoryShares US 500 Volatility Wtd ETF,CFA,11/07/2024,11/08/2024,0.049593,0.595116
601,VictoryShares US Discovery Enhanced Volatility Wtd ETF,CSF,11/07/2024,11/08/2024,0.016451,0.197412
602,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,CDC,11/07/2024,11/08/2024,0.120986,1.451832
603,VictoryShares US Large Cap High Div Volatility Wtd ETF,CDL,11/07/2024,11/08/2024,0.124917,1.499004
604,VictoryShares US Multi-Factor Minimum Volatility ETF,VSMV,11/07/2024,11/08/2024,0.020525,0.2463
605,VictoryShares US Small Cap High Div Volatility Wtd ETF,CSB,11/07/2024,11/08/2024,0.085177,1.022124
606,VictoryShares US Small Cap Volatility Wtd ETF,CSA,11/07/2024,11/08/2024,0.022027,0.264324
607,VictoryShares US Small Mid Cap Value Momentum ETF,USVM,11/07/2024,11/08/2024,0.024285,0.29142
608,VictoryShares US Value Momentum ETF,ULVM,11/07/2024,11/08/2024,0.074444,0.893328
609,VictoryShares WestEnd Economic Cycle Bond ETF,BMDL,11/07/2024,11/08/2024,0.08799,1.05588
610,VictoryShares WestEnd U.S. Sector ETF,MODL,11/07/2024,11/08/2024,0.013323,0.159876
611,"Waste Connections, Inc. Common Shares",WCN,11/07/2024,11/21/2024,0.315,1.26
612,"Western New England Bancorp, Inc. Common Stock",WNEB,11/07/2024,11/21/2024,0.07,0.28
613,Wintrust Financial Corporation Common Stock,WTFC,11/07/2024,11/22/2024,0.45,1.8
614,YieldMax BABA Option Income Strategy ETF,BABO,11/07/2024,11/08/2024,0.8253,11.9682
615,YieldMax Gold Miners Option Income Strategy ETF,GDXY,11/07/2024,11/08/2024,0.4854,7.7466
616,YieldMax JPM Option Income Strategy ETF,JPMO,11/07/2024,11/08/2024,0.3501,4.6041
617,YieldMax Magnificent 7 Fund of Option Income ETFs,YMAG,11/07/2024,11/08/2024,0.2065,7.152
618,YieldMax META Option Income Strategy ETF,FBY,11/07/2024,11/08/2024,0.8356,10.1324
619,YieldMax MRNA Option Income Strategy ETF,MRNY,11/07/2024,11/08/2024,0.4012,10.0126
620,YieldMax NVDA Option Income Strategy ETF,NVDY,11/07/2024,11/08/2024,1.0228,18.2471
621,YieldMax PLTR Option Income Strategy ETF,PLTY,11/07/2024,11/08/2024,2.2011,0.0
622,YieldMax Short NVDA Option Income Strategy ETF,DIPS,11/07/2024,11/08/2024,0.6131,11.415
623,YieldMax Universe Fund of Option Income ETFs,YMAX,11/07/2024,11/08/2024,0.1199,7.6083
624,"Alexander's, Inc. Common Stock",ALX,11/08/2024,11/29/2024,4.5,18.0
625,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",AMX,11/08/2024,11/18/2024,0.24499,0.245
626,"American Electric Power Company, Inc. Common Stock",AEP,11/08/2024,12/10/2024,0.93,3.72
627,Apple Inc. Common Stock,AAPL,11/08/2024,11/14/2024,0.25,1.0
628,Atlantic Union Bankshares Corporation Common Stock,AUB,11/08/2024,11/22/2024,0.34,1.36
629,"Banco Latinoamericano de Comercio Exterior, S.A.",BLX,11/08/2024,11/26/2024,0.5,2.0
630,"Bankwell Financial Group, Inc. Common Stock",BWFG,11/08/2024,11/22/2024,0.2,0.8
631,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",BWMX,11/08/2024,11/15/2024,0.3378,1.3512
632,Bio-Techne Corp Common Stock,TECH,11/08/2024,11/22/2024,0.08,0.32
633,"Black Stone Minerals, L.P. Common units representing limited partner interests",BSM,11/08/2024,11/15/2024,0.375,1.5
634,Blue Owl Capital Inc. Class A Common Stock,OWL,11/08/2024,11/22/2024,0.18,0.72
635,BP p.l.c. Common Stock,BP,11/08/2024,12/20/2024,0.48,1.92
636,"Bread Financial Holdings, Inc. Common Stock",BFH,11/08/2024,12/13/2024,0.21,0.84
637,Capital Clean Energy Carriers Corp. Common Share,CCEC,11/08/2024,11/15/2024,0.15,0.6
638,"Cedar Realty Trust, Inc. 6.50% Series C Cumulative Redeemable Preferred Stock",CDR^C,11/08/2024,11/20/2024,0.40625,1.625
639,"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock",CDR^B,11/08/2024,11/20/2024,0.453125,1.8125
640,Charles Schwab Corporation (The) Common Stock,SCHW,11/08/2024,11/22/2024,0.25,1.0
641,"Cheniere Energy, Inc. Common Stock",LNG,11/08/2024,11/18/2024,0.5,2.0
642,"Climb Global Solutions, Inc. Common Stock",CLMB,11/08/2024,11/15/2024,0.17,0.68
643,Columbus McKinnon Corporation Common Stock,CMCO,11/08/2024,11/18/2024,0.07,0.28
644,Community Healthcare Trust Incorporated Common Stock,CHCT,11/08/2024,11/22/2024,0.465,1.86
645,Community West Bancshares Common Stock,CWBC,11/08/2024,11/22/2024,0.12,0.48
646,ConocoPhillips Common Stock,COP,11/08/2024,12/02/2024,0.78,3.12
647,"CVR Partners, LP Common Units representing Limited Partner Interests",UAN,11/08/2024,11/18/2024,1.19,4.76
648,Dana Incorporated Common Stock ,DAN,11/08/2024,11/29/2024,0.1,0.4
649,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",DKL,11/08/2024,11/14/2024,1.1,4.4
650,"Dime Community Bancshares, Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",DCOMP,11/08/2024,11/15/2024,0.34375,1.375
651,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,CEV,11/08/2024,11/18/2024,0.05,0.6
652,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,EVV,11/08/2024,11/18/2024,0.0791,0.9492
653,Eaton Vance Municipal Income Trust Common Stock,EVN,11/08/2024,11/18/2024,0.0513,0.6156
654,Eaton Vance Senior Income Trust Common Stock,EVF,11/08/2024,11/18/2024,0.048,0.576
655,"Emerald Holding, Inc. Common Stock",EEX,11/08/2024,11/21/2024,0.015,0.06
656,Energy Transfer LP Common Units ,ET,11/08/2024,11/19/2024,0.3225,1.29
657,Enterprise Bancorp Inc Common Stock,EBTC,11/08/2024,12/02/2024,0.24,0.96
658,Exelon Corporation Common Stock,EXC,11/08/2024,12/13/2024,0.38,1.52
659,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,FATBP,11/08/2024,11/20/2024,0.171875,2.0625
660,"Federated Hermes, Inc. Common Stock",FHI,11/08/2024,11/15/2024,0.31,1.24
661,"First Bancshares, Inc.",FBMS,11/08/2024,11/22/2024,0.25,1.0
662,First Bank Common Stock,FRBA,11/08/2024,11/22/2024,0.06,0.24
663,First Commonwealth Financial Corporation Common Stock,FCF,11/08/2024,11/22/2024,0.13,0.52
664,"First Community Bankshares, Inc. (VA) Common Stock",FCBC,11/08/2024,11/22/2024,0.31,1.24
665,First Northwest Bancorp Common Stock,FNWB,11/08/2024,11/22/2024,0.07,0.28
666,"German American Bancorp, Inc. Common Stock",GABC,11/08/2024,11/20/2024,0.27,1.08
667,Global Industrial Company Common Stock,GIC,11/08/2024,11/18/2024,0.25,1.0
668,Global Partners LP Common Units representing Limited Partner Interests,GLP,11/08/2024,11/14/2024,0.73,2.92
669,Hilltop Holdings Inc.,HTH,11/08/2024,11/22/2024,0.17,0.68
670,Howmet Aerospace Inc. Common Stock,HWM,11/08/2024,11/25/2024,0.08,0.32
671,"HSBC Holdings, plc. Common Stock",HSBC,11/08/2024,12/19/2024,0.5,2.0
672,"J.B. Hunt Transport Services, Inc. Common Stock",JBHT,11/08/2024,11/22/2024,0.43,1.72
673,Janus Henderson Group plc Ordinary Shares,JHG,11/08/2024,11/27/2024,0.39,1.56
674,KKR Income Opportunities Fund Common Shares,KIO,11/08/2024,11/29/2024,0.1215,1.458
675,"Lazard, Inc. Common Stock",LAZ,11/08/2024,11/15/2024,0.5,2.0
676,"Lithia Motors, Inc. Common Stock",LAD,11/08/2024,11/15/2024,0.53,2.12
677,Magnolia Oil & Gas Corporation Class A Common Stock,MGY,11/08/2024,12/02/2024,0.13,0.52
678,Main Street Capital Corporation Common Stock,MAIN,11/08/2024,11/15/2024,0.245,2.94
679,Marine Products Corporation Common Stock,MPX,11/08/2024,12/10/2024,0.14,0.56
680,Masco Corporation Common Stock,MAS,11/08/2024,11/25/2024,0.29,1.16
681,Mid Penn Bancorp Common Stock,MPB,11/08/2024,11/25/2024,0.2,0.8
682,MPLX LP Common Units Representing Limited Partner Interests,MPLX,11/08/2024,11/15/2024,0.9565,3.826
683,MUELLER WATER PRODUCTS Common Stock,MWA,11/08/2024,11/20/2024,0.067,0.268
684,Nomad Foods Limited Ordinary Shares,NOMD,11/08/2024,11/26/2024,0.15,0.6
685,"Northwest Bancshares, Inc. Common Stock",NWBI,11/08/2024,11/18/2024,0.2,0.8
686,Nuveen Churchill Direct Lending Corp. Common Stock,NCDL,11/08/2024,1/28/2025,0.1,1.8
687,Oil-Dri Corporation Of America Common Stock,ODC,11/08/2024,11/22/2024,0.31,1.24
688,"Oppenheimer Holdings, Inc. Class A Common Stock (DE)",OPY,11/08/2024,11/22/2024,0.18,0.72
689,Parker-Hannifin Corporation Common Stock,PH,11/08/2024,12/06/2024,1.63,6.52
690,PCB Bancorp Common Stock,PCB,11/08/2024,11/15/2024,0.18,0.72
691,"Pfizer, Inc. Common Stock",PFE,11/08/2024,12/02/2024,0.42,1.68
692,Premier Financial Corp. Common Stock,PFC,11/08/2024,11/15/2024,0.31,1.24
693,Primis Financial Corp. Common Stock,FRST,11/08/2024,11/22/2024,0.1,0.4
694,Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,11/08/2024,11/22/2024,0.105,1.26
695,"Ranger Energy Services, Inc. Class A Common Stock",RNGR,11/08/2024,11/22/2024,0.05,0.2
696,"Richardson Electronics, Ltd. Common Stock",RELL,11/08/2024,11/27/2024,0.06,0.24
697,"RPC, Inc. Common Stock",RES,11/08/2024,12/10/2024,0.04,0.16
698,Saba Capital Income & Opportunities Fund II Shares of Beneficial Interest,SABA,11/08/2024,11/29/2024,0.058,0.696
699,Saba Capital Income & Opportunities Fund SBI,BRW,11/08/2024,11/29/2024,0.085,1.02
700,"SB Financial Group, Inc. Common Stock",SBFG,11/08/2024,11/22/2024,0.145,0.58
701,Seaboard Corporation Common Stock,SEB,11/08/2024,11/18/2024,2.25,9.0
702,Sonoco Products Company Common Stock,SON,11/08/2024,12/10/2024,0.52,2.08
703,SouthState Corporation Common Stock,SSB,11/08/2024,11/15/2024,0.54,2.16
704,Standex International Corporation Common Stock,SXI,11/08/2024,11/22/2024,0.32,1.28
705,Sunoco LP Common Units representing limited partner interests,SUN,11/08/2024,11/19/2024,0.8756,3.5024
706,Terex Corporation Common Stock,TEX,11/08/2024,12/19/2024,0.17,0.68
707,Territorial Bancorp Inc. Common Stock,TBNK,11/08/2024,11/22/2024,0.01,0.04
708,Tompkins Financial Corporation Common Stock,TMP,11/08/2024,11/15/2024,0.62,2.48
709,Tronox Holdings plc Ordinary Shares (UK),TROX,11/08/2024,12/13/2024,0.125,0.5
710,Truist Financial Corporation Common Stock,TFC,11/08/2024,12/02/2024,0.52,2.08
711,Truist Financial Corporation Depositary Shares,TFC^I,11/08/2024,12/16/2024,0.36263,1.4505
712,"Truist Financial Corporation Depositary Shares, each representing 1/1,000th interest in a share of Series R Non-Cumulative Perpetual Preferred Stock",TFC^R,11/08/2024,12/02/2024,0.296875,1.1875
713,"Truist Financial Corporation Depositary Shares, Each Representing a 1/1,000th Interest in a Share of Series O Non-Cumulative Perpetual Preferred Stock",TFC^O,11/08/2024,12/02/2024,0.328125,1.3125
714,"U.S. Global Investors, Inc. Class A Common Stock",GROW,11/08/2024,11/25/2024,0.0075,0.09
715,Unilever PLC Common Stock,UL,11/08/2024,12/06/2024,0.4755,1.902
716,United States Steel Corporation Common Stock,X,11/08/2024,12/11/2024,0.05,0.2
717,"Veritex Holdings, Inc. Common Stock",VBTX,11/08/2024,11/22/2024,0.2,0.8
718,"W.W. Grainger, Inc. Common Stock",GWW,11/08/2024,12/01/2024,2.05,8.2
719,Wells Fargo & Company Common Stock,WFC,11/08/2024,12/01/2024,0.4,1.6
720,WSFS Financial Corporation Common Stock,WSFS,11/08/2024,11/22/2024,0.15,0.6
721,FTAI Infrastructure Inc. Common Stock ,FIP,11/12/2024,11/19/2024,0.03,0.12
722,"Heartland Financial USA, Inc. Common Stock",HTLF,11/12/2024,11/26/2024,0.3,1.2
723,"MainStreet Bancshares, Inc. Common Stock",MNSB,11/12/2024,11/19/2024,0.1,0.4
724,Meridian Corporation Common Stock,MRBK,11/12/2024,11/19/2024,0.125,0.5
725,Natural Health Trends Corp. Common Stock,NHTC,11/12/2024,11/22/2024,0.2,0.8
726,Northeast Bank Common Stock,NBN,11/12/2024,11/26/2024,0.01,0.04
727,"PC Connection, Inc. Common Stock",CNXN,11/12/2024,11/29/2024,0.1,0.4
728,"Radius Recycling, Inc. Class A Common Stock",RDUS,11/12/2024,11/26/2024,0.1875,0.75
729,"Rush Enterprises, Inc. Class B",RUSHB,11/12/2024,12/12/2024,0.18,0.72
730,"Rush Enterprises, Inc. Common Stock Cl A",RUSHA,11/12/2024,12/12/2024,0.18,0.72
731,Shore Bancshares Inc Common Stock,SHBI,11/12/2024,11/29/2024,0.12,0.48
732,"Sound Financial Bancorp, Inc. Common Stock",SFBC,11/12/2024,11/26/2024,0.19,0.76
733,Thornburg Income Builder Opportunities Trust Common Stock,TBLD,11/12/2024,11/20/2024,0.10417,1.25004
734,Willis Lease Finance Corporation Common Stock,WLFC,11/12/2024,11/21/2024,0.25,1.0
735,Allspring Income Opportunities Fund Common Shares,EAD,11/12/2024,12/02/2024,0.0527,0.6324
736,Allspring Multi-Sector Income Fund Common Stock,ERC,11/12/2024,12/02/2024,0.0662,0.7944
737,Allspring Utilities and High Income Fund Common Shares,ERH,11/12/2024,12/02/2024,0.06347,0.7616
738,UBS AG,PFFL,11/12/2024,11/20/2024,0.1065,1.205
739,UBS AG,SMHB,11/12/2024,11/20/2024,0.0322,1.1468
740,"ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN Series B due September 30, 2044",HDLB,11/12/2024,11/20/2024,0.1095,1.3356
741,ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN,CEFD,11/12/2024,11/20/2024,0.2232,2.6691
742,ETRACS Monthly Pay 1.5X Leveraged Mortgage REIT ETN,MVRL,11/12/2024,11/20/2024,0.1426,2.9949
743,International Business Machines Corporation Common Stock,IBM,11/12/2024,12/10/2024,1.67,6.68
744,Kennametal Inc. Common Stock,KMT,11/12/2024,11/26/2024,0.2,0.8
745,"PPG Industries, Inc. Common Stock",PPG,11/12/2024,12/12/2024,0.68,2.72
746,"Rollins, Inc. Common Stock",ROL,11/12/2024,12/10/2024,0.165,0.66
747,"Weis Markets, Inc. Common Stock",WMK,11/12/2024,11/26/2024,0.34,1.36
748,California Water Service Group Common Stock,CWT,11/12/2024,11/22/2024,0.28,1.12
749,"Essential Utilities, Inc. Common Stock",WTRG,11/12/2024,12/02/2024,0.3255,1.302
750,MFS Municipal Income Trust Common Stock,MFM,11/12/2024,11/29/2024,0.0215,0.258
751,MFS Multimarket Income Trust Common Stock,MMT,11/12/2024,11/29/2024,0.03418,0.4102
752,MFS Municipal Income Trust Common Stock,CMU,11/12/2024,11/29/2024,0.0145,0.174
753,MFS Government Markets Income Trust Common Stock,MGF,11/12/2024,11/29/2024,0.01989,0.2387
754,MFS Intermediate Income Trust Common Stock,MIN,11/12/2024,11/29/2024,0.02008,0.241
755,MFS Intermediate High Income Fund Common Stock,CIF,11/12/2024,11/29/2024,0.0149,0.1788
756,Virtus Total Return Fund Inc.,ZTR,11/12/2024,11/27/2024,0.05,0.6
757,MFS High Income Municipal Trust Common Stock,CXE,11/12/2024,11/29/2024,0.016,0.192
758,MFS Investment Grade Municipal Trust Common Stock,CXH,11/12/2024,11/29/2024,0.0265,0.318
759,MFS Charter Income Trust Common Stock,MCR,11/12/2024,11/29/2024,0.04595,0.5514
760,John Hancock Premium Dividend Fund,PDT,11/12/2024,11/29/2024,0.0825,0.99
761,"D.R. Horton, Inc. Common Stock",DHI,11/12/2024,11/19/2024,0.4,1.6
762,Ethan Allen Interiors Inc. Common Stock,ETD,11/12/2024,11/27/2024,0.39,1.56
763,"Reinsurance Group of America, Incorporated Common Stock",RGA,11/12/2024,11/26/2024,0.89,3.56
764,"PCM Fund, Inc. Common Stock",PCM,11/12/2024,12/02/2024,0.08,0.96
765,"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",RFI,11/12/2024,11/29/2024,0.08,0.96
766,Macerich Company (The) Common Stock,MAC,11/12/2024,12/02/2024,0.17,0.68
767,"PIMCO Strategic Income Fund, Inc.",RCS,11/12/2024,12/02/2024,0.051,0.612
768,PIMCO California Municipal Income Fund Common Stock,PCQ,11/12/2024,12/02/2024,0.036,0.432
769,PIMCO New York Municipal Income Fund Common Stock,PNF,11/12/2024,12/02/2024,0.0335,0.402
770,PIMCO Municipal Income Fund Common Stock,PMF,11/12/2024,12/02/2024,0.042,0.504
771,Pimco Corporate & Income Strategy Fund Common Stock,PCN,11/12/2024,12/02/2024,0.1125,1.35
772,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),ITUB,11/12/2024,12/09/2024,0.003049,0.0366
773,Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,11/12/2024,11/29/2024,0.08,0.96
774,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,PCK,11/12/2024,12/02/2024,0.0215,0.258
775,Pimco Municipal Income Fund II Common Shares of Beneficial Interest,PML,11/12/2024,12/02/2024,0.0395,0.474
776,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest,PNI,11/12/2024,12/02/2024,0.0295,0.354
777,John Hancock Preferred Income Fund Common Shares of Beneficial Interest,HPI,11/12/2024,11/29/2024,0.1235,1.482
778,PIMCO Municipal Income Fund III Common Shares of Beneficial Interest,PMX,11/12/2024,12/02/2024,0.033,0.396
779,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,PZC,11/12/2024,12/02/2024,0.0295,0.354
780,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,PYN,11/12/2024,12/02/2024,0.0248,0.2976
781,John Hancock Pfd Income Fund II Pfd Income Fund II,HPF,11/12/2024,11/29/2024,0.1235,1.482
782,Pimco Corporate & Income Opportunity Fund,PTY,11/12/2024,12/02/2024,0.1188,1.4256
783,"SmartFinancial, Inc. Common Stock",SMBK,11/12/2024,11/27/2024,0.08,0.32
784,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,NCV,11/12/2024,11/27/2024,0.034,0.408
785,Pimco High Income Fund,PHK,11/12/2024,12/02/2024,0.048,0.576
786,John Hancock Preferred Income Fund III Preferred Income Fund III,HPS,11/12/2024,11/29/2024,0.11,1.32
787,"Cohen & Steers REIT and Preferred and Income Fund, Inc. Common Shares",RNP,11/12/2024,11/29/2024,0.136,1.632
788,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,NCZ,11/12/2024,11/27/2024,0.03,0.36
789,PIMCO Income Strategy Fund Shares of Beneficial Interest,PFL,11/12/2024,12/02/2024,0.0814,0.9768
790,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,HTD,11/12/2024,11/29/2024,0.138,1.656
791,"Cohen & Steers Infrastructure Fund, Inc Common Stock",UTF,11/12/2024,11/29/2024,0.155,1.86
792,PIMCO Income Strategy Fund II,PFN,11/12/2024,12/02/2024,0.0718,0.8616
793,Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,PGP,11/12/2024,12/02/2024,0.069,0.828
794,"Delek US Holdings, Inc. Common Stock",DK,11/12/2024,11/18/2024,0.255,1.02
795,"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,11/12/2024,11/29/2024,0.087,1.044
796,Lazard Global Total Return and Income Fund Common Stock,LGI,11/12/2024,11/22/2024,0.14941,1.7929
797,Adecoagro S.A. Common Shares,AGRO,11/12/2024,11/27/2024,0.174,0.348
